5/1/2017,NASA CARGO RESUPPLY TO ISS (FLIGHT 17),CAPE CANAVERAL (40),DRAGON  & FALCON 9
5/23/2019,SPACEX (STARLINK),CAPE CANAVERAL (40),FALCON 9
4/11/2019,ARABSAT (ARABSAT-6A),KENNEDY SPACE CENTER (39A),FALCON HEAVY 
3/2/2019,NASA CREW (DEMO 1),KENNEDY SPACE CENTER (39A),DRAGON  & FALCON 9
2/21/2019,SSL (NUSANTARA SATU),CAPE CANAVERAL (40),FALCON 9
1/11/2019,IRIDIUM (FLIGHT 8),VANDENBERG,FALCON 9
12/23/2018,U.S. AIR FORCE (GPS III SPACE VEHICLE 01),CAPE CANAVERAL (40),FALCON 9
12/5/2018,NASA CARGO RESUPPLY TO ISS (FLIGHT 16),CAPE CANAVERAL (40),DRAGON  & FALCON 9
12/3/2018,SPACEFLIGHT INDUSTRIES (SPACEFLIGHT SSO-A: SMALLSAT EXPRESS),VANDENBERG,FALCON 9
11/15/2018,ES'HAILSAT (ES'HAIL-2),KENNEDY SPACE CENTER (39A),FALCON 9
10/7/2018,CONAE (ARGENTINA),VANDENBERG,FALCON 9
9/10/2018,TELESAT (TELSTAR 18V),CAPE CANAVERAL (40),FALCON 9
8/7/2018,TELKOM INDONESIA,CAPE CANAVERAL (40),FALCON 9
7/25/2018,IRIDIUM (FLIGHT 7),VANDENBERG,FALCON 9
7/22/2018,TELESAT (TELSTAR 19V),CAPE CANAVERAL (40),FALCON 9
6/29/2018,NASA RESUPPLY TO ISS (FLIGHT 15),CAPE CANAVERAL (40),DRAGON  & FALCON 9
6/4/2018,SES (SES-12),CAPE CANAVERAL (40),FALCON 9
5/22/2018,IRIDIUM-6/GRACE-FO,VANDENBERG,FALCON 9
5/11/2018,BANGABANDHU SATELLITE-1,KENNEDY SPACE CENTER (39A),FALCON 9
4/18/2018,NASA (TESS),CAPE CANAVERAL (40),FALCON 9
4/2/2018,NASA RESUPPLY TO ISS (FLIGHT 14),CAPE CANAVERAL (40),DRAGON  & FALCON 9
3/30/2018,IRIDIUM (FLIGHT 5),VANDENBERG,FALCON 9
3/6/2018,HISPASAT,CAPE CANAVERAL (40),FALCON 9
2/22/2018,HISDESAT,VANDENBERG,FALCON 9
2/6/2018,FALCON HEAVY DEMO,KENNEDY SPACE CENTER (39A),FALCON HEAVY 
1/31/2018,GOVSAT-1,CAPE CANAVERAL (40),FALCON 9
1/7/2018,ZUMA,CAPE CANAVERAL (40),FALCON 9
12/22/2017,IRIDIUM (FLIGHT 4),VANDENBERG,FALCON 9
12/15/2017,NASA RESUPPLY TO ISS (FLIGHT 13),CAPE CANAVERAL (40),DRAGON  & FALCON 9
10/30/2017,KOREASAT,KENNEDY SPACE CENTER (39A),FALCON 9
10/11/2017,ECHOSTAR 105/SES-11,KENNEDY SPACE CENTER (39A),FALCON 9
10/9/2017,IRIDIUM (FLIGHT 3),VANDENBERG,FALCON 9
9/7/2017,U.S. AIR FORCE (OTV-5),KENNEDY SPACE CENTER (39A),FALCON 9
8/24/2017,NATIONAL SPACE ORGANIZATION (TAIWAN),VANDENBERG,FALCON 9
8/14/2017,NASA RESUPPLY TO ISS (FLIGHT 12),KENNEDY SPACE CENTER (39A),DRAGON  & FALCON 9
7/5/2017,INTELSAT,KENNEDY SPACE CENTER (39A),FALCON 9
6/25/2017,IRIDIUM (FLIGHT 2),VANDENBERG,FALCON 9
6/23/2017,BULGARIASAT-1,KENNEDY SPACE CENTER (39A),FALCON 9
6/3/2017,NASA RESUPPLY TO ISS (FLIGHT 11),KENNEDY SPACE CENTER (39A),DRAGON  & FALCON 9
5/15/2017,INMARSAT,KENNEDY SPACE CENTER (39A),FALCON 9
5/1/2017,NATIONAL RECONNAISSANCE OFFICE (NROL-76),KENNEDY SPACE CENTER (39A),FALCON 9
3/30/2017,SES (SES-10),KENNEDY SPACE CENTER (39A),FALCON 9
3/16/2017,ECHOSTAR CORPORATION,KENNEDY SPACE CENTER (39A),FALCON 9
2/19/2017,NASA RESUPPLY TO ISS (FLIGHT 10),KENNEDY SPACE CENTER (39A),DRAGON  & FALCON 9
1/14/2017,IRIDIUM (FLIGHT 1),VANDENBERG,FALCON 9
8/14/2016,SKY PERFECT JSAT CORPORATION (JAPAN),CAPE CANAVERAL (40),FALCON 9
7/18/2016,NASA RESUPPLY TO ISS (FLIGHT 9),CAPE CANAVERAL (40),DRAGON  & FALCON 9
6/15/2016,EUTELSAT AND ABS,CAPE CANAVERAL (40),FALCON 9
5/27/2016,THAICOM 8,CAPE CANAVERAL (40),FALCON 9
5/6/2016,SKY PERFECT JSAT CORPORATION (JAPAN),CAPE CANAVERAL (40),FALCON 9
4/8/2016,NASA RESUPPLY TO ISS (FLIGHT 8),CAPE CANAVERAL (40),DRAGON  & FALCON 9
3/4/2016,SES (SES-9),CAPE CANAVERAL (40),FALCON 9
1/17/2016,NASA (JASON-3),VANDENBERG,FALCON 9
12/22/2015,ORBCOMM,CAPE CANAVERAL (40),FALCON 9
4/27/2015,THALES ALENIA SPACE,CAPE CANAVERAL (40),FALCON 9
4/14/2015,NASA RESUPPLY TO ISS (FLIGHT 6),CAPE CANAVERAL (40),DRAGON  & FALCON 9
3/2/2015,ASIA BROADCAST SATELLITE/EUTELSAT,CAPE CANAVERAL (40),FALCON 9
2/11/2015,U.S. AIR FORCE (DSCOVR),CAPE CANAVERAL (40),FALCON 9
1/10/2015,NASA RESUPPLY TO ISS (FLIGHT 5),CAPE CANAVERAL (40),DRAGON  & FALCON 9
9/21/2014,NASA RESUPPLY TO ISS (FLIGHT 4),CAPE CANAVERAL (40),DRAGON  & FALCON 9
9/7/2014,ASIASAT-6,CAPE CANAVERAL (40),FALCON 9
8/5/2014,ASIASAT-8,CAPE CANAVERAL (40),FALCON 9
7/14/2014,ORBCOMM,CAPE CANAVERAL (40),FALCON 9
4/18/2014,NASA RESUPPLY TO ISS (FLIGHT 3),CAPE CANAVERAL (40),DRAGON  & FALCON 9
1/6/2014,THAICOM (THAILAND),CAPE CANAVERAL (40),FALCON 9
12/3/2013,SES (SES-8),CAPE CANAVERAL (40),FALCON 9
9/29/2013,MDA CORP. (CANADA),VANDENBERG,FALCON 9
3/1/2013,NASA RESUPPLY TO ISS (FLIGHT 2),CAPE CANAVERAL (40),DRAGON  & FALCON 9
10/8/2012,NASA RESUPPLY TO ISS (FLIGHT 1),CAPE CANAVERAL (40),DRAGON  & FALCON 9
5/22/2012,NASA COTS (DEMO 2/3),CAPE CANAVERAL (40),DRAGON  & FALCON 9
12/8/2010,NASA COTS (DEMO 1),CAPE CANAVERAL (40),DRAGON  & FALCON 9
6/4/2010,FALCON 9 INAUGURAL TEST FLIGHT,CAPE CANAVERAL (40),FALCON 9
7/13/2009,ATSB (MALAYSIA),KWAJALEIN,FALCON 1
9/28/2008,FALCON 1 FLIGHT 4,KWAJALEIN,FALCON 1
8/2/2008,"U.S. GOVERNMENT, ATSB AND NASA",KWAJALEIN,FALCON 1
3/20/2007,DEMO FLIGHT 2,KWAJALEIN,FALCON 1
3/24/2006,DEMO FLIGHT 1,KWAJALEIN,FALCON 1